  1  1 -1.7396
  1  2 -1.9640
  1  3 -1.5773
  1  4 -1.0251
  2  1 -1.9640
  2  2 -3.5493
  2  3 -3.9785
  2  4 -2.9164
  3  1 -1.5773
  3  2 -3.9785
  3  3 -7.6530
  3  4 -8.2860
  4  1 -1.0251
  4  2 -2.9164
  4  3 -8.2860
  4  4-19.7300
